Temp Irradiance TheoV PredV TheoP PreP
297.55 809.0 0.498 0.5112348644672313 3.04249249195 3.0161772820401604
297.25 731.0 0.495 0.5040118729670596 2.73214005206 2.7221359538888312
297.45 848.0 0.499 0.5144969841114646 3.1957691331 3.1561647890077835
297.45 860.0 0.5 0.5153872060603739 3.24331586015 3.199829906168132
296.65 858.0 0.498 0.5148594103259341 3.22669202585 3.1775352086137665
297.05 852.0 0.499 0.5142011449174673 3.20730363427 3.1658876601093464
296.95 843.0 0.498 0.5132038834640094 3.17062749044 3.132952828043379
297.15 840.0 0.499 0.5128090179568681 3.16089138714 3.1269029179988292
296.85 843.0 0.498 0.512857840899174 3.16957197971 3.1328681835204635
297.05 841.0 0.498 0.5125604131726427 3.16377479087 3.1303179089395794
296.75 835.0 0.498 0.5118108964651761 3.13690650023 3.1040026348235346
296.45 826.0 0.497 0.5108094414038422 3.09824987591 3.066852365945263
296.95 821.0 0.498 0.5103427584045838 3.08372126552 3.0580471308667745
296.95 819.0 0.498 0.5100463809547572 3.07582069962 3.0512544673945707
296.35 809.0 0.496 0.5089186025968779 3.03022309107 3.0051393949888685
296.75 809.0 0.497 0.5088884768028483 3.03432897121 3.0122147541798494
297.55 785.0 0.498 0.5068959002704321 2.94768570113 2.935147140079169
297.55 794.0 0.498 0.5076000084137825 2.98323824769 2.9692551004846366
297.75 764.0 0.497 0.504978213534455 2.86677956755 2.8586054471808193
298.15 786.0 0.499 0.5069132055540526 2.95758823484 2.947806072574056
298.25 776.0 0.499 0.506011662616643 2.91900915453 2.9111486426908115
298.05 706.0 0.496 0.4998884932233574 2.64108887168 2.639135423945665
298.75 592.0 0.493 0.49023879277967863 2.19970413233 2.1991230941619357
298.75 771.0 0.499 0.505636499122792 2.9041262973 2.898436181737665
298.85 609.0 0.494 0.4916992924940186 2.26694684675 2.2666116851949205
298.95 750.0 0.499 0.5038411528655447 2.82291810005 2.8196708183881016
299.75 684.0 0.498 0.49833392304067214 2.56919160225 2.5691742088292835
299.95 728.0 0.5 0.5021546299628065 2.7450755236 2.744400926096802
299.85 740.0 0.5 0.5031429653019805 2.79174259914 2.7905268100354945
300.35 473.0 0.49 0.48035033558074036 1.74636960679 1.7402227478252188
300.75 453.0 0.489 0.47876158957875714 1.67094023826 1.6636390445303018
300.85 473.0 0.491 0.4805366248355213 1.74927110862 1.7423578414111038
301.05 581.0 0.496 0.48989726471454975 2.1733385414 2.17003283220893
301.25 584.0 0.497 0.490241530072817 2.18657745005 2.183159968212314
